season,Squad,MP,W,D,L,GF,GA,GD,Pts
2021-2022,Chelsea,38,21,11,6,76,33,43,74
2021-2022,Tottenham,38,22,5,11,69,40,29,71
2021-2022,Arsenal,38,22,3,13,61,48,13,69
2020-2021,Leicester,38,20,6,12,68,50,18,66
2021-2022,West Ham,38,16,8,14,60,51,9,56
2019-2020,Leicester,38,18,8,12,67,41,26,62
2021-2022,Brighton,38,12,15,11,42,44,-2,51
2018-2019,Leicester,38,15,7,16,51,48,3,52
2017-2018,Leicester,38,12,11,15,56,60,-4,47
2021-2022,Crystal Palace,38,11,15,12,50,46,4,48
2021-2022,Brentford,38,13,7,18,48,56,-8,46
2021-2022,Aston Villa,38,13,6,19,52,54,-2,45
2021-2022,Southampton,38,9,13,16,43,67,-24,40
2021-2022,Everton,38,11,6,21,43,66,-23,39
2016-2017,Leicester,38,12,8,18,48,63,-15,44
2021-2022,Burnley,38,7,14,17,34,53,-19,35
2021-2022,Watford,38,6,5,27,34,77,-43,23
2015-2016,Leicester,38,23,12,3,68,36,32,81
2020-2021,Manchester City,38,27,5,6,83,32,51,86
2014-2015,Leicester,38,11,8,19,46,55,-9,41
2020-2021,Liverpool,38,20,9,9,68,42,26,69
2020-2021,Chelsea,38,19,10,9,58,36,22,67
2023-2024,Manchester United,38,18,6,14,57,58,-1,60
2020-2021,West Ham,38,19,8,11,62,47,15,65
2020-2021,Tottenham,38,18,8,12,68,45,23,62
2020-2021,Arsenal,38,18,7,13,55,39,16,61
2022-2023,Manchester United,38,23,6,9,58,43,15,75
2020-2021,Everton,38,17,8,13,47,48,-1,59
2020-2021,Aston Villa,38,16,7,15,55,46,9,55
2021-2022,Manchester United,38,16,10,12,57,57,0,58
2020-2021,Manchester United,38,21,11,6,73,44,29,74
2020-2021,Crystal Palace,38,12,8,18,41,66,-25,44
2020-2021,Southampton,38,12,7,19,47,68,-21,43
2020-2021,Brighton,38,9,14,15,40,46,-6,41
2020-2021,Burnley,38,10,9,19,33,55,-22,39
2020-2021,Fulham,38,5,13,20,27,53,-26,28
2019-2020,Manchester United,38,18,12,8,66,36,30,66
2018-2019,Manchester United,38,19,9,10,65,54,11,66
2019-2020,Liverpool,38,32,3,3,85,33,52,99
2019-2020,Manchester City,38,26,3,9,102,35,67,81
2017-2018,Manchester United,38,25,6,7,68,28,40,81
2019-2020,Chelsea,38,20,6,12,69,54,15,66
2016-2017,Manchester United,38,18,15,5,54,29,25,69
2019-2020,Tottenham,38,16,11,11,61,47,14,59
2015-2016,Manchester United,38,19,9,10,49,35,14,66
2019-2020,Arsenal,38,14,14,10,56,48,8,56
2014-2015,Manchester United,38,20,10,8,62,37,25,70
2019-2020,Burnley,38,15,9,14,43,50,-7,54
2019-2020,Southampton,38,15,7,16,51,60,-9,52
2019-2020,Everton,38,13,10,15,44,56,-12,49
2013-2014,Manchester United,38,19,7,12,64,43,21,64
2019-2020,Crystal Palace,38,11,10,17,31,50,-19,43
2019-2020,Brighton,38,9,14,15,39,54,-15,41
2019-2020,West Ham,38,10,9,19,49,62,-13,39
2019-2020,Aston Villa,38,9,8,21,41,67,-26,35
2019-2020,Bournemouth,38,9,7,22,40,65,-25,34
2019-2020,Watford,38,8,10,20,36,64,-28,34
2022-2023,Newcastle,38,19,14,5,68,33,35,71
2018-2019,Manchester City,38,32,2,4,95,23,72,98
2018-2019,Liverpool,38,30,7,1,89,22,67,97
2018-2019,Chelsea,38,21,9,8,63,39,24,72
2018-2019,Tottenham,38,23,2,13,67,39,28,71
2018-2019,Arsenal,38,21,7,10,73,51,22,70
2021-2022,Newcastle,38,13,10,15,44,62,-18,49
2020-2021,Newcastle,38,12,9,17,46,62,-16,45
2018-2019,Everton,38,15,9,14,54,46,8,54
2019-2020,Newcastle,38,11,11,16,38,58,-20,44
2018-2019,West Ham,38,15,7,16,52,55,-3,52
2018-2019,Watford,38,14,8,16,52,59,-7,50
2018-2019,Crystal Palace,38,14,7,17,51,53,-2,49
2018-2019,Newcastle,38,12,9,17,42,48,-6,45
2018-2019,Bournemouth,38,13,6,19,56,70,-14,45
2018-2019,Burnley,38,11,7,20,45,68,-23,40
2018-2019,Southampton,38,9,12,17,45,65,-20,39
2018-2019,Brighton,38,9,9,20,35,60,-25,36
2017-2018,Newcastle,38,12,8,18,39,47,-8,44
2018-2019,Fulham,38,7,5,26,34,81,-47,26
2018-2019,Huddersfield,38,3,7,28,22,76,-54,16
2017-2018,Manchester City,38,32,4,2,106,27,79,100
2015-2016,Newcastle,38,9,10,19,44,65,-21,37
2017-2018,Tottenham,38,23,8,7,74,36,38,77
2017-2018,Liverpool,38,21,12,5,84,38,46,75
2017-2018,Chelsea,38,21,7,10,62,38,24,70
2017-2018,Arsenal,38,19,6,13,74,51,23,63
2017-2018,Burnley,38,14,12,12,36,39,-3,54
2017-2018,Everton,38,13,10,15,44,58,-14,49
2014-2015,Newcastle,38,10,9,19,40,63,-23,39
2013-2014,Newcastle,38,15,4,19,43,59,-16,49
2017-2018,Crystal Palace,38,11,11,16,45,55,-10,44
2017-2018,Bournemouth,38,11,11,16,45,61,-16,44
2017-2018,West Ham,38,10,12,16,48,68,-20,42
2017-2018,Watford,38,11,8,19,44,64,-20,41
2017-2018,Brighton,38,9,13,16,34,54,-20,40
2017-2018,Huddersfield,38,9,10,19,28,58,-30,37
2017-2018,Southampton,38,7,15,16,37,56,-19,36
2021-2022,Norwich,38,5,7,26,23,84,-61,22
2017-2018,Stoke City,38,7,12,19,35,68,-33,33
2019-2020,Norwich,38,5,6,27,26,75,-49,21
2016-2017,Chelsea,38,30,3,5,85,33,52,93
2016-2017,Tottenham,38,26,8,4,86,26,60,86
2016-2017,Manchester City,38,23,9,6,80,39,41,78
2016-2017,Liverpool,38,22,10,6,78,42,36,76
2016-2017,Arsenal,38,23,6,9,77,44,33,75
2015-2016,Norwich,38,9,7,22,39,67,-28,34
2016-2017,Everton,38,17,10,11,62,44,18,61
2016-2017,Southampton,38,12,10,16,41,48,-7,46
2016-2017,Bournemouth,38,12,10,16,55,67,-12,46
2013-2014,Norwich,38,8,9,21,28,62,-34,33
2016-2017,West Ham,38,12,9,17,47,64,-17,45
2020-2021,Sheffield United,38,7,2,29,20,63,-43,23
2016-2017,Stoke City,38,11,11,16,41,56,-15,44
2016-2017,Crystal Palace,38,12,5,21,50,63,-13,41
2019-2020,Sheffield United,38,14,12,12,39,39,0,54
2016-2017,Burnley,38,11,7,20,39,55,-16,40
2016-2017,Watford,38,11,7,20,40,68,-28,40
2016-2017,Hull City,38,9,7,22,37,80,-43,34
2016-2017,Middlesbrough,38,5,13,20,27,53,-26,28
2016-2017,Sunderland,38,6,6,26,29,69,-40,24
2017-2018,Swansea,38,8,9,21,28,56,-28,33
2015-2016,Arsenal,38,20,11,7,65,36,29,71
2015-2016,Tottenham,38,19,13,6,69,35,34,70
2015-2016,Manchester City,38,19,9,10,71,41,30,66
2016-2017,Swansea,38,12,5,21,45,70,-25,41
2015-2016,Southampton,38,18,9,11,59,41,18,63
2015-2016,West Ham,38,16,14,8,65,51,14,62
2015-2016,Liverpool,38,16,12,10,63,50,13,60
2015-2016,Stoke City,38,14,9,15,41,55,-14,51
2015-2016,Chelsea,38,12,14,12,59,53,6,50
2015-2016,Everton,38,11,14,13,59,55,4,47
2015-2016,Swansea,38,12,11,15,42,52,-10,47
2015-2016,Watford,38,12,9,17,40,50,-10,45
2014-2015,Swansea,38,16,8,14,46,49,-3,56
2015-2016,Crystal Palace,38,11,9,18,39,51,-12,42
2015-2016,Bournemouth,38,11,9,18,45,67,-22,42
2015-2016,Sunderland,38,9,12,17,48,62,-14,39
2013-2014,Swansea,38,11,9,18,54,54,0,42
2020-2021,West Bromwich,38,5,11,22,35,76,-41,26
2015-2016,Aston Villa,38,3,8,27,27,76,-49,17
2014-2015,Chelsea,38,26,9,3,73,32,41,87
2014-2015,Manchester City,38,24,7,7,83,38,45,79
2014-2015,Arsenal,38,22,9,7,71,36,35,75
2017-2018,West Bromwich,38,6,13,19,31,56,-25,31
2014-2015,Tottenham,38,19,7,12,58,53,5,64
2014-2015,Liverpool,38,18,8,12,52,48,4,62
2014-2015,Southampton,38,18,6,14,54,33,21,60
2016-2017,West Bromwich,38,12,9,17,43,51,-8,45
2014-2015,Stoke City,38,15,9,14,48,45,3,54
2014-2015,Crystal Palace,38,13,9,16,47,51,-4,48
2014-2015,Everton,38,12,11,15,48,50,-2,47
2014-2015,West Ham,38,12,11,15,44,47,-3,47
2015-2016,West Bromwich,38,10,13,15,34,48,-14,43
2014-2015,West Bromwich,38,11,11,16,38,51,-13,44
2013-2014,West Bromwich,38,7,15,16,43,59,-16,36
2014-2015,Sunderland,38,7,17,14,31,53,-22,38
2014-2015,Aston Villa,38,10,8,20,31,57,-26,38
2014-2015,Hull City,38,8,11,19,33,51,-18,35
2014-2015,Burnley,38,7,12,19,28,53,-25,33
2014-2015,QPR,38,8,6,24,42,73,-31,30
2013-2014,Manchester City,38,27,5,6,102,37,65,86
2013-2014,Liverpool,38,26,6,6,101,50,51,84
2013-2014,Chelsea,38,25,7,6,71,27,44,82
2013-2014,Arsenal,38,24,7,7,68,41,27,79
2013-2014,Everton,38,21,9,8,61,39,22,72
2013-2014,Tottenham,38,21,6,11,55,51,4,69
2023-2024,Wolverhampton,38,13,7,18,50,65,-15,46
2013-2014,Southampton,38,15,11,12,54,46,8,56
2013-2014,Stoke City,38,13,11,14,45,52,-7,50
2022-2023,Wolverhampton,38,11,8,19,31,58,-27,41
2013-2014,Crystal Palace,38,13,6,19,33,48,-15,45
2021-2022,Wolverhampton,38,15,6,17,38,43,-5,51
2013-2014,West Ham,38,11,7,20,40,51,-11,40
2013-2014,Sunderland,38,10,8,20,41,60,-19,38
2013-2014,Aston Villa,38,10,8,20,39,61,-22,38
2013-2014,Hull City,38,10,7,21,38,53,-15,37
2020-2021,Wolverhampton,38,12,9,17,36,52,-16,45
2019-2020,Wolverhampton,38,15,14,9,51,40,11,59
2013-2014,Fulham,38,9,5,24,40,85,-45,32
2018-2019,Wolverhampton,38,16,9,13,47,46,1,57
